race_true,race_pred,sex_true,sex_pred,age_true,age_pred,emotion_pred
latino hispanic,latino hispanic,female,male,3-9,20-29,neutral
latino hispanic,asian,male,male,50-59,30-39,sad
asian,asian,male,male,10-19,20-29,sad
black,asian,female,female,40-49,30-39,happy
black,black,female,male,3-9,20-29,surprise
latino hispanic,latino hispanic,male,male,10-19,20-29,neutral
black,black,male,male,20-29,20-29,fear
latino hispanic,latino hispanic,female,male,30-39,30-39,happy
middle eastern,asian,male,male,10-19,20-29,neutral
indian,latino hispanic,female,male,3-9,20-29,sad
middle eastern,middle eastern,male,male,30-39,20-29,happy
indian,indian,male,male,50-59,40-49,neutral
white,asian,male,female,10-19,30-39,neutral
latino hispanic,latino hispanic,female,female,20-29,30-39,happy
asian,asian,female,female,30-39,40-49,sad
black,black,male,male,30-39,20-29,neutral
asian,asian,female,male,30-39,30-39,happy
latino hispanic,indian,female,female,20-29,30-39,happy
middle eastern,white,female,female,20-29,30-39,sad
middle eastern,asian,female,female,20-29,30-39,happy
asian,asian,female,female,30-39,30-39,sad
white,white,male,male,3-9,20-29,happy
white,white,female,female,30-39,30-39,neutral
black,latino hispanic,female,male,3-9,30-39,neutral
indian,latino hispanic,male,male,3-9,30-39,neutral
asian,asian,male,male,3-9,20-29,happy
indian,latino hispanic,male,male,10-19,30-39,sad
indian,indian,male,male,20-29,30-39,happy
black,white,male,male,20-29,20-29,fear
white,middle eastern,female,male,20-29,30-39,angry
asian,asian,female,male,20-29,30-39,happy
latino hispanic,latino hispanic,female,male,10-19,30-39,fear
asian,white,female,male,30-39,30-39,neutral
black,black,male,male,30-39,30-39,happy
white,asian,female,male,3-9,20-29,happy
indian,asian,female,male,10-19,20-29,happy
white,white,female,female,20-29,30-39,neutral
white,white,male,male,60-69,40-49,sad
indian,white,female,female,30-39,30-39,happy
latino hispanic,white,female,male,30-39,30-39,neutral
middle eastern,latino hispanic,female,male,20-29,30-39,happy
latino hispanic,latino hispanic,male,male,50-59,30-39,neutral
asian,asian,female,female,60-69,30-39,neutral
black,black,male,male,20-29,40-49,neutral
indian,indian,female,male,30-39,20-29,sad
latino hispanic,asian,female,male,20-29,30-39,happy
middle eastern,latino hispanic,male,male,40-49,30-39,happy
white,middle eastern,male,male,20-29,30-39,neutral
latino hispanic,asian,female,male,10-19,20-29,fear
white,white,female,female,20-29,30-39,happy
asian,asian,female,male,20-29,30-39,neutral
black,black,female,male,40-49,40-49,happy
asian,asian,male,male,20-29,30-39,happy
black,black,male,male,3-9,20-29,sad
latino hispanic,asian,male,male,30-39,20-29,surprise
latino hispanic,latino hispanic,female,male,20-29,20-29,happy
white,white,female,female,20-29,30-39,neutral
asian,asian,female,male,20-29,30-39,sad
latino hispanic,white,male,male,3-9,10-19,sad
white,white,male,male,30-39,20-29,happy
latino hispanic,latino hispanic,female,female,3-9,20-29,sad
asian,asian,male,male,20-29,30-39,happy
black,black,female,male,20-29,30-39,neutral
latino hispanic,asian,female,female,10-19,30-39,happy
asian,asian,female,male,20-29,30-39,neutral
asian,asian,female,male,3-9,20-29,happy
asian,asian,male,male,30-39,20-29,happy
indian,indian,male,male,30-39,30-39,happy
latino hispanic,asian,female,male,0-2,10-19,neutral
black,latino hispanic,female,female,30-39,30-39,happy
white,white,male,male,40-49,40-49,neutral
white,white,male,male,40-49,20-29,sad
indian,white,male,male,3-9,30-39,neutral
asian,asian,female,male,0-2,20-29,neutral
indian,indian,male,male,20-29,20-29,neutral
indian,latino hispanic,male,female,3-9,20-29,happy
latino hispanic,middle eastern,male,male,40-49,40-49,neutral
asian,asian,male,male,20-29,30-39,sad
latino hispanic,asian,female,male,10-19,20-29,neutral
indian,indian,male,male,40-49,30-39,neutral
asian,asian,female,male,20-29,20-29,neutral
indian,indian,male,male,3-9,30-39,neutral
white,asian,female,female,30-39,30-39,happy
latino hispanic,indian,male,male,10-19,30-39,sad
asian,asian,female,female,30-39,30-39,fear
asian,white,male,male,60-69,20-29,neutral
indian,asian,female,male,20-29,30-39,fear
latino hispanic,latino hispanic,male,male,20-29,20-29,happy
middle eastern,white,female,male,30-39,20-29,neutral
middle eastern,white,female,female,30-39,30-39,sad
latino hispanic,asian,female,male,3-9,30-39,neutral
indian,asian,female,male,40-49,30-39,happy
latino hispanic,latino hispanic,female,female,20-29,20-29,happy
latino hispanic,latino hispanic,female,male,10-19,30-39,sad
latino hispanic,white,female,male,20-29,30-39,sad
asian,asian,male,male,0-2,30-39,neutral
latino hispanic,middle eastern,female,female,30-39,30-39,neutral
asian,asian,female,female,20-29,30-39,angry
latino hispanic,latino hispanic,female,male,10-19,30-39,neutral
white,asian,female,male,20-29,30-39,happy
black,asian,male,male,40-49,30-39,neutral
white,white,male,male,50-59,40-49,neutral
latino hispanic,latino hispanic,male,male,50-59,30-39,happy
white,white,female,female,20-29,40-49,happy
latino hispanic,white,male,male,40-49,40-49,neutral
indian,white,female,male,30-39,20-29,sad
asian,asian,female,female,20-29,30-39,happy
white,white,male,male,30-39,30-39,neutral
black,black,male,male,3-9,20-29,sad
asian,asian,female,male,20-29,30-39,happy
latino hispanic,asian,female,male,30-39,30-39,happy
latino hispanic,white,female,male,20-29,30-39,happy
asian,asian,male,male,3-9,20-29,sad
white,white,male,male,50-59,30-39,fear
asian,asian,male,male,20-29,30-39,sad
black,black,male,male,30-39,20-29,neutral
asian,asian,female,male,40-49,30-39,sad
white,latino hispanic,female,female,30-39,30-39,angry
indian,black,female,male,3-9,20-29,neutral
black,black,female,male,10-19,30-39,happy
indian,asian,male,female,10-19,20-29,happy
latino hispanic,white,male,female,3-9,30-39,happy
indian,indian,female,male,0-2,20-29,neutral
white,white,male,male,30-39,30-39,neutral
white,white,male,male,30-39,20-29,neutral
asian,asian,female,male,3-9,30-39,fear
middle eastern,white,male,male,30-39,30-39,angry
indian,indian,male,male,20-29,20-29,happy
black,black,female,female,10-19,20-29,sad
white,latino hispanic,female,male,30-39,20-29,neutral
indian,indian,male,male,30-39,30-39,happy
asian,asian,male,male,20-29,20-29,neutral
white,white,male,male,40-49,30-39,neutral
black,asian,male,male,3-9,20-29,neutral
white,white,female,female,20-29,30-39,happy
black,black,male,male,0-2,30-39,neutral
middle eastern,middle eastern,male,male,10-19,20-29,sad
white,asian,male,male,40-49,20-29,happy
indian,white,male,male,30-39,30-39,neutral
latino hispanic,asian,female,male,20-29,30-39,angry
indian,indian,female,male,40-49,20-29,happy
black,asian,male,male,10-19,20-29,sad
black,black,female,male,40-49,30-39,sad
asian,asian,male,male,30-39,30-39,neutral
latino hispanic,latino hispanic,male,male,40-49,30-39,happy
indian,indian,male,male,50-59,40-49,neutral
middle eastern,latino hispanic,male,male,40-49,30-39,neutral
black,black,female,male,30-39,20-29,happy
asian,asian,male,male,0-2,20-29,fear
asian,asian,female,female,20-29,20-29,neutral
white,white,female,female,20-29,30-39,neutral
latino hispanic,white,male,male,30-39,30-39,sad
asian,asian,male,male,30-39,30-39,neutral
black,black,female,male,20-29,30-39,happy
latino hispanic,white,male,male,30-39,30-39,neutral
latino hispanic,white,female,female,40-49,40-49,fear
middle eastern,asian,female,female,40-49,30-39,happy
middle eastern,middle eastern,male,male,60-69,40-49,neutral
black,black,female,male,3-9,20-29,happy
middle eastern,middle eastern,male,male,50-59,40-49,sad
black,black,female,male,3-9,20-29,neutral
middle eastern,asian,male,male,10-19,20-29,neutral
middle eastern,white,female,female,20-29,30-39,sad
indian,asian,female,male,40-49,40-49,neutral
asian,asian,male,male,40-49,30-39,angry
latino hispanic,latino hispanic,female,female,20-29,20-29,happy
white,asian,female,female,10-19,20-29,surprise
asian,asian,male,male,10-19,30-39,neutral
indian,asian,female,male,10-19,20-29,neutral
asian,asian,female,male,50-59,30-39,sad
white,white,male,male,30-39,30-39,fear
asian,asian,male,male,3-9,20-29,neutral
black,black,male,male,20-29,30-39,angry
indian,asian,female,male,30-39,20-29,sad
asian,asian,male,male,3-9,10-19,neutral
latino hispanic,black,female,female,20-29,30-39,neutral
asian,asian,male,female,3-9,20-29,happy
white,white,male,male,30-39,30-39,happy
black,black,female,male,30-39,30-39,happy
indian,asian,female,female,30-39,40-49,sad
indian,latino hispanic,female,female,40-49,30-39,happy
black,indian,female,male,20-29,30-39,fear
middle eastern,white,male,male,30-39,30-39,happy
latino hispanic,asian,female,male,20-29,30-39,happy
latino hispanic,latino hispanic,female,male,20-29,30-39,happy
indian,latino hispanic,female,male,30-39,30-39,angry
white,white,female,female,40-49,30-39,fear
black,black,male,male,50-59,40-49,happy
middle eastern,white,female,male,50-59,20-29,fear
latino hispanic,latino hispanic,female,female,50-59,40-49,happy
indian,black,female,male,40-49,40-49,sad
asian,asian,male,male,20-29,30-39,sad
indian,latino hispanic,male,male,50-59,30-39,happy
indian,white,male,male,30-39,40-49,angry
indian,black,female,male,10-19,20-29,neutral
black,asian,female,male,40-49,30-39,sad
latino hispanic,latino hispanic,female,male,30-39,30-39,neutral
latino hispanic,latino hispanic,male,male,10-19,30-39,neutral
white,white,female,female,50-59,40-49,happy
asian,asian,female,female,30-39,30-39,sad
asian,asian,male,male,20-29,20-29,angry
latino hispanic,white,female,male,3-9,20-29,neutral
asian,asian,female,male,20-29,20-29,happy
black,black,female,male,20-29,20-29,sad
latino hispanic,white,male,male,30-39,30-39,happy
indian,latino hispanic,female,male,20-29,30-39,neutral
asian,asian,female,male,20-29,30-39,neutral
asian,white,male,male,0-2,30-39,sad
asian,asian,male,male,20-29,30-39,happy
indian,asian,female,male,20-29,20-29,sad
latino hispanic,latino hispanic,female,female,10-19,20-29,happy
asian,asian,female,male,10-19,30-39,sad
middle eastern,white,female,female,20-29,30-39,happy
white,white,female,male,30-39,30-39,happy
asian,asian,female,male,30-39,20-29,neutral
white,middle eastern,male,male,50-59,40-49,angry
indian,black,male,male,3-9,30-39,happy
middle eastern,middle eastern,male,male,30-39,30-39,sad
indian,asian,female,male,20-29,30-39,happy
white,white,male,male,30-39,30-39,fear
latino hispanic,asian,male,male,3-9,30-39,neutral
latino hispanic,black,female,male,10-19,30-39,happy
asian,asian,female,female,40-49,30-39,sad
latino hispanic,black,male,male,40-49,20-29,fear
black,black,female,female,20-29,20-29,fear
asian,asian,female,male,10-19,30-39,happy
indian,latino hispanic,male,female,3-9,30-39,happy
indian,black,female,female,20-29,30-39,happy
indian,latino hispanic,female,male,50-59,20-29,neutral
black,latino hispanic,female,male,3-9,20-29,neutral
white,white,male,male,30-39,30-39,angry
white,white,male,male,20-29,40-49,neutral
asian,latino hispanic,female,female,30-39,30-39,neutral
latino hispanic,latino hispanic,female,female,30-39,40-49,happy
indian,indian,male,male,40-49,20-29,happy
middle eastern,latino hispanic,female,female,30-39,30-39,happy
asian,asian,male,male,20-29,20-29,angry
asian,white,male,male,3-9,20-29,neutral
asian,asian,female,female,20-29,30-39,happy
black,latino hispanic,female,female,40-49,40-49,happy
latino hispanic,latino hispanic,female,male,20-29,20-29,happy
latino hispanic,black,male,male,40-49,20-29,sad
latino hispanic,asian,female,male,20-29,20-29,neutral
black,black,female,male,3-9,20-29,angry
white,white,female,female,20-29,20-29,happy
latino hispanic,asian,female,female,20-29,30-39,happy
black,black,female,male,40-49,30-39,happy
asian,asian,female,male,60-69,40-49,angry
middle eastern,middle eastern,male,male,30-39,30-39,happy
indian,black,male,male,10-19,30-39,sad
white,white,male,male,50-59,30-39,sad
asian,asian,female,male,50-59,30-39,neutral
white,middle eastern,male,male,30-39,30-39,happy
latino hispanic,black,female,male,40-49,40-49,happy
asian,asian,female,male,10-19,20-29,happy
indian,latino hispanic,male,male,10-19,20-29,neutral
white,white,female,female,10-19,20-29,happy
latino hispanic,white,male,male,10-19,20-29,sad
black,asian,male,male,20-29,30-39,neutral
latino hispanic,indian,female,female,3-9,30-39,neutral
latino hispanic,latino hispanic,male,male,20-29,30-39,happy
asian,asian,male,male,40-49,30-39,neutral
asian,asian,female,male,30-39,30-39,neutral
white,latino hispanic,female,female,20-29,20-29,happy
latino hispanic,asian,male,male,3-9,20-29,surprise
asian,white,female,male,30-39,30-39,happy
asian,asian,female,female,20-29,30-39,happy
latino hispanic,asian,male,male,3-9,20-29,neutral
asian,asian,male,male,30-39,30-39,happy
white,latino hispanic,male,male,50-59,40-49,neutral
indian,latino hispanic,female,male,0-2,30-39,happy
indian,latino hispanic,female,male,50-59,30-39,happy
asian,asian,female,female,20-29,30-39,happy
black,black,male,male,30-39,20-29,neutral
white,white,female,male,20-29,20-29,happy
indian,white,male,male,3-9,30-39,fear
latino hispanic,white,female,female,20-29,20-29,happy
asian,asian,female,female,20-29,20-29,happy
middle eastern,middle eastern,male,male,20-29,20-29,sad
asian,white,male,male,20-29,30-39,happy
middle eastern,white,female,male,more than 70,60-69,neutral
indian,black,female,male,3-9,30-39,sad
asian,white,male,male,30-39,30-39,happy
indian,indian,male,male,20-29,20-29,neutral
indian,indian,female,male,10-19,20-29,happy
asian,indian,female,male,3-9,20-29,fear
white,white,female,female,30-39,30-39,neutral
asian,asian,female,male,60-69,30-39,angry
black,black,female,male,60-69,30-39,sad
middle eastern,asian,male,male,10-19,20-29,angry
asian,asian,female,male,20-29,30-39,happy
asian,asian,male,male,30-39,20-29,neutral
indian,black,male,male,20-29,20-29,sad
asian,asian,female,male,50-59,30-39,neutral
white,asian,female,female,20-29,20-29,happy
black,asian,male,male,10-19,40-49,sad
latino hispanic,asian,male,male,40-49,30-39,happy
black,black,male,male,20-29,30-39,neutral
white,latino hispanic,female,male,40-49,20-29,happy
latino hispanic,middle eastern,female,male,30-39,30-39,neutral
black,black,female,male,20-29,30-39,neutral
asian,asian,female,male,10-19,30-39,happy
black,black,female,male,40-49,30-39,neutral
asian,asian,female,female,30-39,30-39,neutral
white,white,male,male,50-59,40-49,happy
white,latino hispanic,male,male,40-49,30-39,sad
asian,asian,female,male,50-59,40-49,neutral
middle eastern,middle eastern,male,male,20-29,20-29,happy
latino hispanic,asian,male,male,20-29,20-29,sad
latino hispanic,asian,female,female,10-19,30-39,happy
asian,asian,male,male,3-9,20-29,neutral
asian,asian,male,male,40-49,20-29,surprise
asian,white,male,male,30-39,30-39,disgust
middle eastern,white,female,female,50-59,30-39,happy
black,black,female,male,20-29,30-39,happy
asian,asian,male,male,30-39,30-39,happy
white,white,male,male,60-69,40-49,fear
latino hispanic,asian,female,female,10-19,20-29,happy
black,black,male,male,20-29,30-39,neutral
indian,indian,female,female,30-39,30-39,happy
white,white,male,male,30-39,40-49,happy
latino hispanic,middle eastern,male,male,30-39,20-29,neutral
white,latino hispanic,male,female,0-2,30-39,happy
white,white,male,male,30-39,30-39,neutral
asian,asian,female,female,20-29,30-39,happy
indian,latino hispanic,male,male,40-49,40-49,angry
black,black,male,male,10-19,30-39,neutral
asian,asian,female,female,20-29,30-39,neutral
middle eastern,asian,female,female,10-19,30-39,happy
asian,asian,male,female,10-19,30-39,angry
asian,asian,male,male,20-29,20-29,neutral
middle eastern,white,female,male,10-19,30-39,fear
latino hispanic,latino hispanic,female,male,10-19,30-39,fear
asian,asian,male,male,30-39,30-39,sad
indian,indian,male,male,30-39,20-29,neutral
indian,indian,female,male,20-29,20-29,sad
latino hispanic,asian,male,male,30-39,30-39,happy
asian,asian,female,male,10-19,20-29,angry
indian,asian,female,male,3-9,20-29,sad
asian,asian,female,male,30-39,30-39,angry
asian,asian,female,female,20-29,30-39,happy
indian,black,female,male,3-9,30-39,happy
white,white,male,male,20-29,20-29,happy
latino hispanic,middle eastern,male,male,30-39,30-39,angry
asian,asian,male,male,30-39,30-39,neutral
indian,middle eastern,male,male,20-29,30-39,sad
asian,asian,female,female,20-29,20-29,happy
latino hispanic,asian,female,female,30-39,30-39,happy
asian,asian,male,male,20-29,20-29,happy
white,white,female,female,20-29,30-39,neutral
white,latino hispanic,male,male,40-49,30-39,fear
white,white,male,male,20-29,30-39,happy
asian,asian,female,male,20-29,30-39,happy
asian,black,female,female,40-49,30-39,happy
asian,asian,female,male,10-19,20-29,neutral
indian,middle eastern,female,male,20-29,30-39,neutral
asian,asian,male,male,40-49,30-39,happy
asian,white,female,male,3-9,30-39,happy
indian,indian,male,male,10-19,30-39,happy
indian,asian,female,female,20-29,20-29,happy
white,white,female,male,3-9,30-39,neutral
asian,asian,female,male,30-39,30-39,sad
asian,asian,male,male,20-29,30-39,neutral
indian,white,female,male,20-29,30-39,neutral
latino hispanic,white,male,male,50-59,30-39,neutral
indian,latino hispanic,male,male,10-19,20-29,sad
latino hispanic,white,female,male,20-29,30-39,sad
latino hispanic,asian,female,male,30-39,30-39,angry
asian,asian,female,male,3-9,20-29,fear
middle eastern,white,female,female,30-39,30-39,neutral
indian,latino hispanic,male,male,10-19,20-29,neutral
middle eastern,white,female,female,20-29,20-29,happy
asian,asian,female,male,60-69,40-49,happy
asian,asian,female,male,40-49,30-39,sad
indian,indian,female,male,30-39,30-39,fear
white,white,male,male,30-39,30-39,neutral
white,white,female,male,10-19,30-39,fear
indian,latino hispanic,female,male,30-39,30-39,happy
asian,asian,male,male,30-39,30-39,happy
latino hispanic,asian,female,female,50-59,30-39,happy
asian,white,male,male,60-69,30-39,neutral
asian,asian,female,male,60-69,30-39,neutral
latino hispanic,latino hispanic,male,male,20-29,20-29,happy
black,black,female,male,50-59,30-39,angry
black,black,male,male,30-39,20-29,angry
asian,asian,female,male,30-39,30-39,sad
asian,asian,female,female,20-29,30-39,happy
asian,white,male,male,20-29,30-39,sad
latino hispanic,white,female,male,50-59,20-29,sad
white,white,female,male,10-19,30-39,fear
indian,indian,male,male,30-39,20-29,neutral
middle eastern,middle eastern,male,male,30-39,30-39,neutral
middle eastern,asian,female,male,10-19,20-29,sad
white,middle eastern,male,male,20-29,30-39,neutral
asian,middle eastern,male,female,40-49,30-39,sad
white,middle eastern,female,male,30-39,30-39,fear
white,latino hispanic,male,male,30-39,30-39,sad
black,black,male,male,20-29,20-29,neutral
asian,asian,female,male,3-9,10-19,happy
asian,asian,male,male,10-19,30-39,happy
middle eastern,middle eastern,female,male,40-49,20-29,neutral
asian,white,male,male,50-59,30-39,fear
indian,latino hispanic,female,male,30-39,30-39,neutral
middle eastern,white,male,male,30-39,20-29,happy
black,black,male,male,40-49,30-39,sad
asian,asian,male,male,30-39,20-29,neutral
indian,asian,female,male,20-29,20-29,neutral
white,white,male,male,40-49,30-39,neutral
asian,asian,female,male,40-49,40-49,happy
asian,asian,male,male,30-39,30-39,sad
latino hispanic,black,male,male,3-9,30-39,happy
white,white,male,male,3-9,30-39,sad
middle eastern,latino hispanic,male,male,40-49,30-39,sad
latino hispanic,white,female,female,20-29,20-29,happy
latino hispanic,asian,male,male,10-19,20-29,angry
asian,asian,female,female,30-39,30-39,happy
indian,latino hispanic,female,male,50-59,40-49,sad
latino hispanic,white,male,male,40-49,30-39,angry
latino hispanic,white,male,male,40-49,30-39,neutral
middle eastern,latino hispanic,male,male,10-19,20-29,happy
latino hispanic,latino hispanic,male,male,30-39,30-39,happy
white,white,male,male,20-29,30-39,fear
latino hispanic,latino hispanic,male,male,30-39,30-39,happy
asian,white,female,male,3-9,20-29,sad
latino hispanic,middle eastern,male,male,30-39,30-39,angry
latino hispanic,asian,female,male,3-9,30-39,neutral
asian,asian,female,male,50-59,30-39,sad
indian,white,female,male,30-39,30-39,neutral
white,middle eastern,male,male,20-29,20-29,neutral
indian,latino hispanic,male,male,40-49,40-49,sad
middle eastern,middle eastern,male,male,10-19,20-29,surprise
middle eastern,white,female,female,10-19,30-39,happy
white,asian,male,male,20-29,30-39,neutral
asian,asian,male,male,20-29,30-39,angry
asian,asian,female,female,20-29,30-39,neutral
asian,asian,male,male,10-19,20-29,happy
indian,black,female,male,3-9,30-39,happy
asian,asian,female,female,3-9,30-39,happy
middle eastern,middle eastern,male,male,40-49,30-39,sad
asian,indian,male,male,20-29,20-29,sad
middle eastern,white,female,female,20-29,30-39,happy
asian,black,male,male,3-9,20-29,neutral
black,asian,female,male,40-49,20-29,neutral
black,asian,male,male,more than 70,30-39,sad
asian,asian,female,male,3-9,20-29,neutral
middle eastern,latino hispanic,male,male,20-29,20-29,happy
white,white,female,male,30-39,30-39,happy
asian,asian,male,male,30-39,30-39,neutral
black,asian,female,female,20-29,20-29,neutral
black,asian,male,male,10-19,20-29,sad
white,white,female,male,20-29,20-29,fear
asian,asian,male,male,10-19,30-39,neutral
asian,white,male,male,40-49,30-39,happy
white,white,female,female,50-59,50-59,happy
latino hispanic,white,female,female,30-39,30-39,happy
indian,latino hispanic,female,female,30-39,30-39,happy
asian,asian,male,male,40-49,30-39,happy
black,black,female,male,10-19,30-39,neutral
middle eastern,white,female,female,30-39,30-39,neutral
white,white,male,male,more than 70,40-49,happy
asian,asian,male,male,30-39,40-49,neutral
indian,middle eastern,male,male,30-39,20-29,sad
middle eastern,white,female,female,20-29,30-39,happy
white,white,male,male,30-39,30-39,sad
latino hispanic,latino hispanic,male,male,40-49,20-29,neutral
indian,black,male,male,30-39,30-39,happy
white,white,female,male,3-9,20-29,happy
white,white,male,male,50-59,40-49,angry
black,black,female,male,40-49,20-29,neutral
white,white,female,female,20-29,30-39,happy
indian,latino hispanic,female,male,50-59,30-39,neutral
asian,black,female,female,30-39,40-49,happy
latino hispanic,middle eastern,male,male,30-39,30-39,angry
latino hispanic,latino hispanic,male,male,10-19,20-29,neutral
indian,asian,female,male,10-19,20-29,sad
asian,asian,male,male,10-19,20-29,neutral
white,white,male,male,40-49,30-39,fear
latino hispanic,middle eastern,male,male,30-39,20-29,neutral
latino hispanic,latino hispanic,female,male,10-19,30-39,neutral
asian,asian,female,female,20-29,30-39,happy
white,white,male,male,20-29,30-39,sad
indian,black,male,male,10-19,20-29,neutral
white,white,male,male,40-49,30-39,neutral
asian,asian,male,male,60-69,40-49,happy
asian,asian,female,female,30-39,30-39,sad
black,black,female,female,3-9,20-29,happy
black,black,male,male,20-29,20-29,fear
asian,asian,female,male,10-19,30-39,happy
black,black,female,male,20-29,30-39,happy
white,white,female,male,0-2,30-39,fear
middle eastern,white,female,male,3-9,30-39,happy
indian,middle eastern,male,male,30-39,40-49,neutral
white,white,male,male,20-29,20-29,happy
indian,asian,female,male,20-29,20-29,happy
middle eastern,white,female,female,20-29,30-39,sad
asian,asian,female,female,20-29,20-29,neutral
black,black,male,male,10-19,20-29,neutral
black,black,female,male,50-59,30-39,happy
black,latino hispanic,male,male,30-39,30-39,sad
middle eastern,latino hispanic,male,male,60-69,40-49,neutral
asian,white,female,male,30-39,30-39,happy
white,middle eastern,female,female,10-19,30-39,neutral
middle eastern,middle eastern,male,male,30-39,30-39,happy
white,white,male,male,40-49,30-39,neutral
asian,asian,male,male,3-9,30-39,angry
asian,asian,female,male,30-39,20-29,happy
latino hispanic,latino hispanic,female,male,40-49,30-39,neutral
asian,asian,male,male,20-29,20-29,angry
indian,black,male,male,30-39,30-39,neutral
indian,latino hispanic,female,female,20-29,30-39,fear
indian,indian,male,male,30-39,30-39,angry
middle eastern,latino hispanic,female,female,20-29,30-39,happy
latino hispanic,black,male,male,40-49,20-29,sad
black,latino hispanic,male,male,30-39,30-39,neutral
middle eastern,white,male,female,10-19,30-39,neutral
asian,white,female,male,20-29,20-29,fear
middle eastern,middle eastern,male,male,50-59,50-59,happy
black,black,male,male,10-19,20-29,happy
black,black,male,male,20-29,30-39,neutral
asian,asian,female,female,30-39,20-29,neutral
black,black,male,male,10-19,20-29,neutral
latino hispanic,middle eastern,male,male,40-49,40-49,happy
white,white,female,female,20-29,30-39,neutral
asian,asian,male,male,3-9,20-29,angry
indian,black,male,male,30-39,30-39,happy
latino hispanic,latino hispanic,male,male,40-49,30-39,neutral
latino hispanic,indian,male,male,30-39,30-39,angry
indian,white,female,male,20-29,30-39,neutral
black,black,male,male,30-39,30-39,neutral
white,white,male,female,3-9,20-29,neutral
latino hispanic,middle eastern,male,male,40-49,40-49,sad
white,white,female,female,3-9,20-29,neutral
black,black,female,male,50-59,30-39,neutral
indian,latino hispanic,female,male,30-39,20-29,angry
latino hispanic,white,male,male,20-29,30-39,surprise
asian,middle eastern,male,male,20-29,30-39,neutral
white,white,female,female,20-29,30-39,sad
asian,asian,female,male,30-39,30-39,neutral
indian,latino hispanic,female,female,40-49,30-39,happy
asian,black,male,male,3-9,30-39,happy
asian,asian,male,male,20-29,20-29,neutral
latino hispanic,asian,male,male,20-29,30-39,sad
white,middle eastern,female,male,30-39,30-39,sad
latino hispanic,white,female,male,30-39,30-39,sad
white,white,female,female,20-29,20-29,sad
latino hispanic,black,male,male,10-19,30-39,fear
latino hispanic,latino hispanic,male,male,50-59,30-39,neutral
white,white,female,female,50-59,40-49,happy
white,white,male,male,30-39,30-39,happy
indian,indian,male,male,40-49,30-39,neutral
indian,indian,female,male,40-49,40-49,neutral
asian,white,female,female,20-29,30-39,happy
white,white,male,male,40-49,30-39,happy
latino hispanic,latino hispanic,male,male,3-9,20-29,neutral
asian,asian,female,male,50-59,40-49,happy
middle eastern,latino hispanic,male,male,3-9,20-29,neutral
white,white,female,female,20-29,30-39,happy
white,white,male,female,0-2,20-29,neutral
middle eastern,middle eastern,male,male,40-49,20-29,neutral
indian,black,male,male,50-59,40-49,neutral
asian,asian,male,male,3-9,20-29,angry
asian,white,male,female,30-39,30-39,angry
asian,white,male,female,3-9,30-39,neutral
white,white,male,male,0-2,20-29,neutral
white,white,male,male,30-39,40-49,sad
latino hispanic,asian,female,male,60-69,40-49,angry
indian,indian,male,male,40-49,30-39,neutral
latino hispanic,latino hispanic,female,male,3-9,20-29,neutral
asian,asian,male,male,20-29,30-39,neutral
indian,asian,female,male,50-59,40-49,neutral
middle eastern,black,male,male,50-59,40-49,sad
asian,asian,male,male,20-29,30-39,happy
white,white,male,male,0-2,30-39,neutral
asian,asian,female,male,20-29,20-29,happy
asian,asian,female,female,30-39,30-39,happy
asian,asian,male,male,3-9,20-29,happy
middle eastern,latino hispanic,male,male,50-59,40-49,neutral
latino hispanic,white,male,male,3-9,20-29,happy
white,asian,male,male,3-9,30-39,surprise
asian,white,female,male,10-19,30-39,happy
asian,middle eastern,male,male,3-9,30-39,neutral
asian,asian,male,male,30-39,30-39,neutral
black,white,female,male,10-19,20-29,happy
latino hispanic,white,male,male,30-39,20-29,happy
indian,asian,male,male,30-39,30-39,happy
middle eastern,latino hispanic,female,female,30-39,30-39,sad
white,white,female,male,50-59,50-59,happy
indian,latino hispanic,female,male,20-29,30-39,neutral
latino hispanic,middle eastern,female,female,20-29,30-39,happy
indian,indian,female,female,10-19,20-29,neutral
white,white,female,male,3-9,20-29,neutral
asian,asian,female,male,50-59,30-39,sad
white,white,male,male,30-39,30-39,fear
indian,latino hispanic,female,male,3-9,30-39,neutral
latino hispanic,asian,female,male,60-69,40-49,sad
latino hispanic,asian,female,male,30-39,30-39,sad
indian,asian,female,male,0-2,30-39,angry
middle eastern,middle eastern,male,male,50-59,30-39,sad
asian,asian,male,male,3-9,20-29,sad
asian,asian,female,male,20-29,30-39,happy
latino hispanic,middle eastern,male,male,40-49,30-39,neutral
asian,white,male,male,30-39,30-39,sad
indian,white,male,male,20-29,30-39,neutral
indian,latino hispanic,female,female,20-29,30-39,sad
latino hispanic,latino hispanic,male,male,20-29,20-29,sad
asian,asian,male,male,40-49,30-39,fear
middle eastern,black,female,female,20-29,30-39,happy
middle eastern,white,female,male,30-39,30-39,neutral
white,white,female,male,30-39,30-39,happy
white,white,female,male,40-49,30-39,sad
indian,middle eastern,male,male,30-39,30-39,happy
indian,indian,male,male,20-29,30-39,neutral
latino hispanic,black,female,male,40-49,20-29,happy
asian,asian,male,male,20-29,30-39,sad
indian,latino hispanic,female,male,10-19,20-29,neutral
white,white,male,male,20-29,20-29,happy
indian,latino hispanic,female,male,3-9,20-29,sad
asian,asian,female,male,10-19,20-29,happy
black,indian,male,male,40-49,30-39,angry
